************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
*      126 *         1 *      0.25 *         1 * 1.7999999 *         1 *      0.25 *         1 * 0.3000000 * -0.087843 * 0.0205662 *
*      127 *         1 *      0.25 *         1 * 1.7999999 *         1 *      0.25 *         2 *       0.5 * -0.113405 * 0.0342768 *
*      130 *         1 *      0.25 *         1 * 1.7999999 *         2 * 0.3499999 *         0 * 0.1000000 * -0.044131 * 0.0060516 *
*      131 *         1 *      0.25 *         1 * 1.7999999 *         2 * 0.3499999 *         1 * 0.3000000 * -0.076439 * 0.0181556 *
*      132 *         1 *      0.25 *         1 * 1.7999999 *         2 * 0.3499999 *         2 *       0.5 * -0.098682 * 0.0302591 *
*      133 *         1 *      0.25 *         1 * 1.7999999 *         2 * 0.3499999 *         3 * 0.6999999 * -0.116763 * 0.0423636 *
*      135 *         1 *      0.25 *         1 * 1.7999999 *         3 * 0.4499999 *         0 * 0.1000000 * -0.040932 * 0.0048931 *
*      136 *         1 *      0.25 *         1 * 1.7999999 *         3 * 0.4499999 *         1 * 0.3000000 * -0.070899 * 0.0146801 *
*      137 *         1 *      0.25 *         1 * 1.7999999 *         3 * 0.4499999 *         2 *       0.5 * -0.091530 * 0.0244667 *
*      138 *         1 *      0.25 *         1 * 1.7999999 *         3 * 0.4499999 *         3 * 0.6999999 * -0.108301 * 0.0342540 *
*      139 *         1 *      0.25 *         1 * 1.7999999 *         3 * 0.4499999 *         4 * 0.8999999 * -0.122801 * 0.0440406 *
*      140 *         1 *      0.25 *         1 * 1.7999999 *         4 * 0.5500000 *         0 * 0.1000000 * -0.038996 * 0.0035406 *
*      141 *         1 *      0.25 *         1 * 1.7999999 *         4 * 0.5500000 *         1 * 0.3000000 * -0.067545 * 0.0106224 *
*      142 *         1 *      0.25 *         1 * 1.7999999 *         4 * 0.5500000 *         2 *       0.5 * -0.087200 * 0.0177039 *
*      143 *         1 *      0.25 *         1 * 1.7999999 *         4 * 0.5500000 *         3 * 0.6999999 * -0.103178 * 0.0247859 *
*      144 *         1 *      0.25 *         1 * 1.7999999 *         4 * 0.5500000 *         4 * 0.8999999 * -0.116992 * 0.0318674 *
*      145 *         1 *      0.25 *         1 * 1.7999999 *         5 * 0.6499999 *         0 * 0.1000000 * -0.037746 * 0.0022155 *
*      146 *         1 *      0.25 *         1 * 1.7999999 *         5 * 0.6499999 *         1 * 0.3000000 * -0.065379 * 0.0066467 *
*      147 *         1 *      0.25 *         1 * 1.7999999 *         5 * 0.6499999 *         2 *       0.5 * -0.084403 * 0.0110778 *
*      148 *         1 *      0.25 *         1 * 1.7999999 *         5 * 0.6499999 *         3 * 0.6999999 * -0.099869 * 0.0155092 *
*      149 *         1 *      0.25 *         1 * 1.7999999 *         5 * 0.6499999 *         4 * 0.8999999 * -0.113240 * 0.0199403 *
*      150 *         1 *      0.25 *         1 * 1.7999999 *         6 *      0.75 *         0 * 0.1000000 * -0.037550 * 0.0011258 *
*      151 *         1 *      0.25 *         1 * 1.7999999 *         6 *      0.75 *         1 * 0.3000000 * -0.065040 * 0.0033775 *
*      152 *         1 *      0.25 *         1 * 1.7999999 *         6 *      0.75 *         2 *       0.5 * -0.083966 * 0.0056292 *
*      153 *         1 *      0.25 *         1 * 1.7999999 *         6 *      0.75 *         3 * 0.6999999 * -0.099351 * 0.0078810 *
*      155 *         1 *      0.25 *         1 * 1.7999999 *         7 * 0.8500000 *         0 * 0.1000000 * -0.039475 * 0.0003861 *
*      156 *         1 *      0.25 *         1 * 1.7999999 *         7 * 0.8500000 *         1 * 0.3000000 * -0.068374 * 0.0011583 *
*      160 *         2 * 0.3499999 *         0 * 1.8999999 *         0 * 0.1500000 *         0 * 0.1000000 * -0.029816 * 0.0029052 *
*      165 *         2 * 0.3499999 *         0 * 1.8999999 *         1 *      0.25 *         0 * 0.1000000 * -0.022659 * 0.0028302 *
*      166 *         2 * 0.3499999 *         0 * 1.8999999 *         1 *      0.25 *         1 * 0.3000000 * -0.039248 * 0.0084911 *
*      170 *         2 * 0.3499999 *         0 * 1.8999999 *         2 * 0.3499999 *         0 * 0.1000000 * -0.019679 * 0.0024937 *
*      171 *         2 * 0.3499999 *         0 * 1.8999999 *         2 * 0.3499999 *         1 * 0.3000000 * -0.034087 * 0.0074814 *
*      172 *         2 * 0.3499999 *         0 * 1.8999999 *         2 * 0.3499999 *         2 *       0.5 * -0.044006 * 0.0124689 *
*      175 *         2 * 0.3499999 *         0 * 1.8999999 *         3 * 0.4499999 *         0 * 0.1000000 * -0.018205 * 0.0020110 *
*      176 *         2 * 0.3499999 *         0 * 1.8999999 *         3 * 0.4499999 *         1 * 0.3000000 * -0.031533 * 0.0060333 *
*      177 *         2 * 0.3499999 *         0 * 1.8999999 *         3 * 0.4499999 *         2 *       0.5 * -0.040709 * 0.0100554 *
*      180 *         2 * 0.3499999 *         0 * 1.8999999 *         4 * 0.5500000 *         0 * 0.1000000 * -0.017294 * 0.0014509 *
*      181 *         2 * 0.3499999 *         0 * 1.8999999 *         4 * 0.5500000 *         1 * 0.3000000 * -0.029954 * 0.0043530 *
*      182 *         2 * 0.3499999 *         0 * 1.8999999 *         4 * 0.5500000 *         2 *       0.5 * -0.038671 * 0.0072549 *
*      185 *         2 * 0.3499999 *         0 * 1.8999999 *         5 * 0.6499999 *         0 * 0.1000000 * -0.016699 * 0.0009057 *
*      186 *         2 * 0.3499999 *         0 * 1.8999999 *         5 * 0.6499999 *         1 * 0.3000000 * -0.028925 * 0.0027173 *
*      190 *         2 * 0.3499999 *         0 * 1.8999999 *         6 *      0.75 *         0 * 0.1000000 * -0.016587 * 0.0004595 *
*      191 *         2 * 0.3499999 *         0 * 1.8999999 *         6 *      0.75 *         1 * 0.3000000 * -0.028731 * 0.0013787 *
*      195 *         2 * 0.3499999 *         0 * 1.8999999 *         7 * 0.8500000 *         0 * 0.1000000 * -0.017433 * 0.0001575 *
*      200 *         2 * 0.3499999 *         1 * 2.4000001 *         0 * 0.1500000 *         0 * 0.1000000 * -0.042531 * 0.0069705 *
*      205 *         2 * 0.3499999 *         1 * 2.4000001 *         1 *      0.25 *         0 * 0.1000000 * -0.032774 * 0.0068857 *
*      206 *         2 * 0.3499999 *         1 * 2.4000001 *         1 *      0.25 *         1 * 0.3000000 * -0.056768 * 0.0206580 *
*      207 *         2 * 0.3499999 *         1 * 2.4000001 *         1 *      0.25 *         2 *       0.5 * -0.073287 * 0.0344297 *
*      210 *         2 * 0.3499999 *         1 * 2.4000001 *         2 * 0.3499999 *         0 * 0.1000000 * -0.028785 * 0.0061353 *
